,shopid,userid
0,10009,0
1,10051,0
2,10061,0
3,10084,0
4,10100,0
5,10107,0
6,10108,0
7,10110,0
8,10132,0
9,10133,0
10,10151,0
11,10153,0
12,10155,0
13,10159,0
14,10166,0
15,10178,0
16,10186,0
17,10195,0
18,10208,0
19,10214,0
20,10217,0
21,10253,0
22,10281,0
23,10282,0
24,10287,0
25,10311,0
26,10324,0
27,10345,0
28,10346,0
29,10352,0
30,10353,0
31,10358,0
32,10359,0
33,10360,0
34,10363,0
35,10375,0
36,10378,0
37,10380,0
38,10388,0
39,10396,0
40,10402,0
41,10407,0
42,10408,0
43,10410,0
44,10418,0
45,10424,0
46,10429,0
47,10432,0
48,10445,0
49,10446,0
50,10452,0
51,10484,0
52,10485,0
53,10498,0
54,10508,0
55,10509,0
56,10517,0
57,10536,0
58,10546,0
59,10555,0
60,10556,0
61,10557,0
62,10563,0
63,11518,0
64,11608,0
65,11613,0
66,11671,0
67,11722,0
68,11752,0
69,11918,0
70,12568,0
71,12581,0
72,12713,0
73,13238,0
74,13405,0
75,13511,0
76,14710,0
77,14962,0
78,15478,0
79,15624,0
80,16034,0
81,16107,0
82,16415,0
83,16666,0
84,17124,0
85,17145,0
86,17147,0
87,17532,0
88,17696,0
89,18204,0
90,18604,0
91,19061,0
92,19190,0
93,19288,0
94,20659,0
95,24526,0
96,24910,0
97,26133,0
98,27649,0
99,29464,0
100,29583,0
101,30826,0
102,30957,0
103,30996,0
104,33480,0
105,33896,0
106,36283,0
107,36536,0
108,38259,0
109,40095,0
110,41764,0
111,42472,0
112,42496,0
113,42578,0
114,42818,0
115,44469,0
116,45096,0
117,46093,0
118,47115,0
119,47176,0
120,47620,0
121,48122,0
122,50932,0
123,54067,0
124,55590,0
125,56418,0
126,59285,0
127,66783,0
128,74526,0
129,76934,0
130,77353,0
131,79567,0
132,80108,0
133,80917,0
134,82911,0
135,84101,0
136,85207,0
137,85818,0
138,85844,0
139,89348,0
140,89408,0
141,89938,0
142,94090,0
143,94636,0
144,94742,0
145,100392,0
146,100530,0
147,108331,0
148,108456,0
149,109715,0
150,123115,0
